,Postcode,Borough,Neighbourhood
2,M3A,North York,Parkwoods
3,M4A,North York,Victoria Village
4,M5A,Downtown Toronto,"Harbourfront, Regent Park"
6,M6A,North York,"Lawrence Heights, Lawrence Manor"
8,M7A,Queen's Park,Queen's Park
10,M9A,Etobicoke,Islington Avenue
11,M1B,Scarborough,"Rouge, Malvern"
14,M3B,North York,Don Mills North
15,M4B,East York,"Woodbine Gardens, Parkview Hill"
17,M5B,Downtown Toronto,"Ryerson, Garden District"
19,M6B,North York,Glencairn
22,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
27,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
31,M3C,North York,"Flemingdon Park, Don Mills South"
33,M4C,East York,Woodbine Heights
34,M5C,Downtown Toronto,St. James Town
35,M6C,York,Humewood-Cedarvale
38,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
42,M1E,Scarborough,"Guildwood, Morningside, West Hill"
47,M4E,East Toronto,The Beaches
48,M5E,Downtown Toronto,Berczy Park
49,M6E,York,Caledonia-Fairbanks
53,M1G,Scarborough,Woburn
56,M4G,East York,Leaside
57,M5G,Downtown Toronto,Central Bay Street
58,M6G,Downtown Toronto,Christie
62,M1H,Scarborough,Cedarbrae
63,M2H,North York,Hillcrest Village
64,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
67,M4H,East York,Thorncliffe Park
68,M5H,Downtown Toronto,"Adelaide, King, Richmond"
71,M6H,West Toronto,"Dovercourt Village, Dufferin"
76,M1J,Scarborough,Scarborough Village
77,M2J,North York,"Fairview, Henry Farm, Oriole"
80,M3J,North York,"Northwood Park, York University"
82,M4J,East York,East Toronto
83,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
86,M6J,West Toronto,"Little Portugal, Trinity"
91,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
94,M2K,North York,Bayview Village
95,M3K,North York,"CFB Toronto, Downsview East"
97,M4K,East Toronto,"The Danforth West, Riverdale"
99,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
101,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
107,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
110,M2L,North York,"Silver Hills, York Mills"
112,M3L,North York,Downsview West
113,M4L,East Toronto,"The Beaches West, India Bazaar"
115,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
117,M6L,North York,"Downsview, North Park, Upwood Park"
122,M9L,North York,Humber Summit
123,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
126,M2M,North York,"Newtonbrook, Willowdale"
128,M3M,North York,Downsview Central
129,M4M,East Toronto,Studio District
130,M5M,North York,"Bedford Park, Lawrence Manor East"
132,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
138,M9M,North York,"Emery, Humberlea"
140,M1N,Scarborough,"Birch Cliff, Cliffside West"
142,M2N,North York,Willowdale South
143,M3N,North York,Downsview Northwest
144,M4N,Central Toronto,Lawrence Park
145,M5N,Central Toronto,Roselawn
146,M6N,York,"The Junction North, Runnymede"
150,M9N,York,Weston
151,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
154,M2P,North York,York Mills West
156,M4P,Central Toronto,Davisville North
157,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
159,M6P,West Toronto,"High Park, The Junction South"
163,M9P,Etobicoke,Westmount
164,M1R,Scarborough,"Maryvale, Wexford"
166,M2R,North York,Willowdale West
168,M4R,Central Toronto,North Toronto West
169,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
172,M6R,West Toronto,"Parkdale, Roncesvalles"
174,M7R,Mississauga,Canada Post Gateway Processing Centre
176,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
180,M1S,Scarborough,Agincourt
183,M4S,Central Toronto,Davisville
184,M5S,Downtown Toronto,"Harbord, University of Toronto"
186,M6S,West Toronto,"Runnymede, Swansea"
191,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
196,M4T,Central Toronto,"Moore Park, Summerhill East"
198,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
205,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
211,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
216,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
225,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
228,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
236,M1W,Scarborough,L'Amoreaux West
239,M4W,Downtown Toronto,Rosedale
240,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
243,M8W,Etobicoke,"Alderwood, Long Branch"
245,M9W,Etobicoke,Northwest
246,M1X,Scarborough,Upper Rouge
249,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
251,M5X,Downtown Toronto,"First Canadian Place, Underground city"
255,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
262,M4Y,Downtown Toronto,Church and Wellesley
265,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
266,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
282,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
